ticker,Date,OneMthSimpleRet
A,2015-12-31,0.0024946391312608007
A,2016-01-31,-0.09949782739049307
A,2016-02-29,-0.007968179079261173
A,2016-03-31,0.06693450927447442
A,2016-04-30,0.029822610798786453
A,2016-05-31,0.12145674194327172
A,2016-06-30,-0.030793516249191022
A,2016-07-31,0.08453554582483314
A,2016-08-31,-0.023488027613762563
A,2016-09-30,0.004831412208092356
A,2016-10-31,-0.074750334358473
A,2016-11-30,0.009410229035797135
A,2016-12-31,0.03892461973158268
A,2017-01-31,0.0748464059701166
A,2017-02-28,0.04758025675719546
A,2017-03-31,0.03316187584429864
A,2017-04-30,0.04123328185611608
A,2017-05-31,0.09609465392615535
A,2017-06-30,-0.014880940517383201
A,2017-07-31,0.00809329482374932
A,2017-08-31,0.082454841894672
A,2017-09-30,-0.008034520589822014
A,2017-10-31,0.06184083500289006
A,2017-11-30,0.017785901488098554
A,2017-12-31,-0.030642981723314144
A,2018-01-31,0.09646077777068829
A,2018-02-28,-0.06591289711101822
A,2018-03-31,-0.024639060041451444
A,2018-04-30,-0.01514583239870626
A,2018-05-31,-0.0581077222359343
A,2018-06-30,-0.0012921399280897417
A,2018-07-31,0.07049672750200098
A,2018-08-31,0.0227135177254274
A,2018-09-30,0.044417785021372946
A,2018-10-31,-0.07956942357579955
A,2018-11-30,0.1166845278200892
A,2018-12-31,-0.06528238883067039
A,2019-01-31,0.12733500433017975
A,2019-02-28,0.0445756922090057
A,2019-03-31,0.011832900853572914
A,2019-04-30,-0.021392274748394557
A,2019-05-31,-0.145859839335998
A,2019-06-30,0.11364663589082769
A,2019-07-31,-0.06839723535799991
A,2019-08-31,0.024492113865427045
A,2019-09-30,0.07994455445811632
A,2019-10-31,-0.011483580047865094
A,2019-11-30,0.06627056913349216
A,2019-12-31,0.05843937978991276
A,2020-01-31,-0.03223536277656669
A,2020-02-29,-0.06649701988721146
A,2020-03-31,-0.06835000351601572
A,2020-04-30,0.07037156001027678
A,2020-05-31,0.14975219663892037
A,2020-06-30,0.004714661183205404
A,2020-07-31,0.09007585114036676
A,2020-08-31,0.042458283123638196
A,2020-09-30,0.005178280927478962
A,2020-10-31,0.013216264897236263
A,2020-11-30,0.1450680742886592
A,2020-12-31,0.01360144079872172
A,2021-01-31,0.0158415963157017
A,2021-02-28,0.015811075373063144
A,2021-03-31,0.04153337690350578
A,2021-04-30,0.05272437545233233
A,2021-05-31,0.033597679067418174
A,2021-06-30,0.07007898449903394
A,2021-07-31,0.038031116862827785
A,2021-08-31,0.14514139568135254
A,2021-09-30,-0.10223982319433123
A,2021-10-31,9.910206493284335e-4
A,2021-11-30,-0.04184394557298787
A,2021-12-31,0.05798557269334137
A,2022-01-31,-0.12619191065297986
A,2022-02-28,-0.06431212837673339
A,2022-03-31,0.015111817183729226
A,2022-04-30,-0.0972774727576392
A,2022-05-31,0.06950608788723955
A,2022-06-30,-0.06890875002373775
A,2022-07-31,0.13107280775367736
A,2022-08-31,-0.04362411642528108
A,2022-09-30,-0.0522417330271191
A,2022-10-31,0.14018480513039844
A,2022-11-30,0.1202019541538728
A,2022-12-31,-0.03295136580317781
A,2023-01-31,0.016238060081301908
A,2023-02-28,-0.06647805679100183
A,2023-03-31,-0.02556909932555873
A,2023-04-30,-0.01944021517815231
A,2023-05-31,-0.14590552472450447
A,2023-06-30,0.04158050447316275
A,2023-07-31,0.012640470772906864
A,2023-08-31,-0.005748585051572386
A,2023-09-30,-0.07640207923979925
A,2023-10-31,-0.07370399604333566
A,2023-11-30,0.2363354335577641
A,2023-12-31,0.08971170744859647
A,2024-01-31,-0.06423080457977426
A,2024-02-29,0.05580329772084358
A,2024-03-31,0.05933291402635943
A,2024-04-30,-0.056679108298397396
A,2024-05-31,-0.04837992068210639
A,2024-06-30,-0.005981048324223859
A,2024-07-31,0.09282106224614517
A,2024-08-31,0.010749742147435626
A,2024-09-30,0.03890288738627623
A,2024-10-31,-0.12097615019780761
A,2024-11-30,0.058782883833092825
A,2024-12-31,-0.02451043738657044
A,2025-01-31,0.12788455516322284
A,2025-02-28,-0.15575505823586244
A,2025-03-31,-0.08552215629373128
A,2025-04-30,-0.07823042978601424
A,2025-05-31,0.040148648612986504
A,2025-06-30,0.05441383868684757
A,2025-07-31,-0.025067495789947047
A,2025-08-31,0.09450402480084441
A,2025-09-30,0.02345800188016045
A,2025-10-31,0.14031936253735022
A,2025-11-30,0.04878379936532973
AAPL,2015-12-31,-0.11022811409179911
AAPL,2016-01-31,-0.07524214904732862
AAPL,2016-02-29,-0.0012877797540303826
AAPL,2016-03-31,0.12721070522584443
AAPL,2016-04-30,-0.13992099084670007
AAPL,2016-05-31,0.07177281505504429
AAPL,2016-06-30,-0.04265976128462079
AAPL,2016-07-31,0.09006312241731962
AAPL,2016-08-31,0.023651573723401986
AAPL,2016-09-30,0.06550414947469418
AAPL,2016-10-31,0.004334696488472067
AAPL,2016-11-30,-0.021600965320816012
AAPL,2016-12-31,0.0479549722507584
AAPL,2017-01-31,0.04774669839624446
AAPL,2017-02-28,0.13377785882267257
AAPL,2017-03-31,0.04868929806947642
AAPL,2017-04-30,-6.951436985913606e-5
AAPL,2017-05-31,0.06780760755744852
AAPL,2017-06-30,-0.057213634238409194
AAPL,2017-07-31,0.032703492181569205
AAPL,2017-08-31,0.10699917694129146
AAPL,2017-09-30,-0.060243888167934134
AAPL,2017-10-31,0.09680774209068654
AAPL,2017-11-30,0.02027807281426308
